,title,description,publishedAt,url,sentiment
0,Do Wall Street Analysts Like Avery Dennison Stock?,"Less than $10/month! Get more Watchlists, Portfolios, Custom Views and Chart Templates with Barchart Plus.
FREE 30 Day Trial
- Market Pulse
-
- Options Market Overview
- Unusual Options Activity
- IV Rank and IV Percentile
- Implied vs Realized Vol
- Most Act…",2024-11-29T11:27:35Z,https://biztoc.com/x/2bf36dcb13c82b16,1
1,"Independent Advisor Alliance Purchases New Stake in Builders FirstSource, Inc. (NYSE:BLDR)","Independent Advisor Alliance purchased a new position in Builders FirstSource, Inc. (NYSE:BLDR – Free Report) during the third quarter, HoldingsChannel.com reports. The fund purchased 1,337 shares of the company’s stock, valued at approximately $259,000. A nu…",2024-11-29T11:26:53Z,https://www.etfdailynews.com/2024/11/29/independent-advisor-alliance-purchases-new-stake-in-builders-firstsource-inc-nysebldr/,1
3,Chinese gaming giant Boyaa Interactive dumps Ethereum for Bitcoin,"Chinese gaming giant Boyaa Interactive, listed on the Hong Kong Stock Exchange, has shifted a significant portion of its crypto holdings from Ethereum to Bitcoin. According to a Nov. 29 filing, the company said it converted 14,200 ETH into approximately 515 B…",2024-11-29T11:26:27Z,https://cryptoslate.com/chinese-gaming-giant-boyaa-interactive-dumps-ethereum-for-bitcoin/,-1
4,Share market update: Most active stocks of the day in terms of traded value,The NSE Nifty index closed,2024-11-29T11:25:56Z,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/115807509.cms,1
7,"Insider Selling: Ares Management Co. (NYSE:ARES) CEO Sells $5,150,119.44 in Stock","Ares Management Co. (NYSE:ARES – Get Free Report) CEO Michael J. Arougheti sold 29,292 shares of the business’s stock in a transaction on Monday, November 25th. The shares were sold at an average price of $175.82, for a total value of $5,150,119.44. Following…",2024-11-29T11:23:35Z,https://www.etfdailynews.com/2024/11/29/insider-selling-ares-management-co-nyseares-ceo-sells-5150119-44-in-stock/,-1
8,Barclays Lowers Burlington Stores (NYSE:BURL) Price Target to $317.00,"Burlington Stores (NYSE:BURL – Get Free Report) had its price objective decreased by equities researchers at Barclays from $327.00 to $317.00 in a note issued to investors on Wednesday,Benzinga reports. The firm currently has an “overweight” rating on the sto…",2024-11-29T11:23:35Z,https://www.etfdailynews.com/2024/11/29/barclays-lowers-burlington-stores-nyseburl-price-target-to-317-00/,-1
9,"Ares Management Co. (NYSE:ARES) Chairman Sells $5,133,592.36 in Stock","Ares Management Co. (NYSE:ARES – Get Free Report) Chairman Bennett Rosenthal sold 29,198 shares of the firm’s stock in a transaction that occurred on Monday, November 25th. The shares were sold at an average price of $175.82, for a total transaction of $5,133…",2024-11-29T11:23:34Z,https://www.etfdailynews.com/2024/11/29/ares-management-co-nyseares-chairman-sells-5133592-36-in-stock/,-1
10,"Insider Selling: Ares Management Co. (NYSE:ARES) Insider Sells 28,887 Shares of Stock","Ares Management Co. (NYSE:ARES – Get Free Report) insider David B. Kaplan sold 28,887 shares of the business’s stock in a transaction that occurred on Monday, November 25th. The stock was sold at an average price of $175.82, for a total value of $5,078,912.34…",2024-11-29T11:23:32Z,https://www.etfdailynews.com/2024/11/29/insider-selling-ares-management-co-nyseares-insider-sells-28887-shares-of-stock/,-1
11,"lantronix director printer Hoshi buys $44,497 in stock","lantronix director printer Hoshi buys $44,497 in stock",2024-11-29T11:21:48Z,https://www.investing.com/news/insider-trading-news/lantronix-director-printer-hoshi-buys-44497-in-stock-93CH-3746520,1
12,Futures inch up ahead of shortened Black Friday session,Futures inch up ahead of shortened Black Friday session,2024-11-29T11:21:18Z,https://www.investing.com/news/economy-news/futures-inch-up-ahead-of-shortened-black-friday-session-3746519,1
